Stationsparameter meta-information: 29.08.2012
"station_code";"type_of_parameter";"parameter";"component_code";"measurement_start_date";"measurement_end_date";"measurement_technique_principle";"measurement_equipment";"measuring_time";"frequency_of_measurement";"remark_history";
"DEBB001";"Gaseous air pollutants";"Sulfur dioxide";"1";"19930101";"20030519";"UV fluorescence";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Gaseous air pollutants";"Ozone";"7";"19930101";"20030519";"UV absorption";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Gaseous air pollutants";"Nitrogen dioxide first measurement";"8";"19930101";"20030519";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Gaseous air pollutants";"Nitrogen monoxide";"38";"19930101";"20030519";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Gaseous air pollutants";"Nitrogen oxides";"9";"19930101";"20030519";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Particulate air pollutants";"Total suspended particulate matter";"4";"19930101";"20020109";"Beta ray absorption";"unknown";"half hourly mean";"n.a.";
"DEBB001";"Particulate air pollutants";"Particulate matter - PM10, first measurement";"5";"20020111";"20030519";"n.a.";"unknown";"half hourly mean";"n.a.";
"DEBB002";"Gaseous air pollutants";"Sulfur dioxide";"1";"19910201";"19940630";"Conductometry";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Sulfur dioxide";"1";"19910301";"19980630";"UV fluorescence";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Ozone";"7";"19910401";"20010607";"UV absorption";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Nitrogen dioxide first measurement";"8";"19910401";"20010607";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Nitrogen monoxide";"38";"19910401";"20010607";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Nitrogen oxides";"9";"19910401";"20010607";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Carbon monoxide";"10";"19910401";"20010607";"IR-Absorption";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Gaseous air pollutants";"Hydrogen sulfide";"11";"19910401";"19961230";"UV fluorescence";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Particulate air pollutants";"Total suspended particulate matter";"4";"19910501";"20010607";"Beta ray absorption";"unknown";"half hourly mean";"n.a.";
"DEBB003";"Particulate air pollutants";"Particulate matter - PM10, first measurement";"5";"19920901";"20010607";"n.a.";"unknown";"half hourly mean";"n.a.";
"DEBB004";"Gaseous air pollutants";"Sulfur dioxide";"1";"19910101";"19950402";"Conductometry";"unknown";"half hourly mean";"n.a.";
"DEBB004";"Pollutants in PM10";"Lead in PM10";"5012";"20030101";"20031231";"LVS - manual filter change 2,3 m³/h";"unknown";"2-daily mean";"n.a.";
"DEBB005";"Gaseous air pollutants";"Sulfur dioxide";"1";"19910101";"19970330";"UV fluorescence";"unknown";"half hourly mean";"n.a.";
"DEBB005";"Particulate air pollutants";"Total suspended particulate matter";"4";"19920601";"19970330";"Beta ray absorption";"unknown";"3 hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Sulfur dioxide";"1";"19921201";"20021209";"UV fluorescence";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Ozone";"7";"19921201";"20021209";"UV absorption";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Nitrogen dioxide first measurement";"8";"19921201";"20021209";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Nitrogen monoxide";"38";"19921201";"20021209";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Nitrogen oxides";"9";"19921201";"20021209";"Chemiluminescence";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Carbon monoxide";"10";"19921201";"20021209";"IR-Absorption";"unknown";"half hourly mean";"n.a.";
"DEBB006";"Gaseous air pollutants";"Benzene";"20";"20010109";"20021231";"Gas chromatography";"unknown";"daily mean";"n.a.";
